Country,Confirmed,Deaths,Recovered
South Korea,5621.0,35.0,41.0
Italy,3089.0,107.0,276.0
Iran,2922.0,92.0,552.0
Japan,331.0,6.0,43.0
France,285.0,4.0,12.0
Germany,262.0,0.0,16.0
Spain,222.0,2.0,2.0
Singapore,110.0,0.0,78.0
Hong Kong,105.0,2.0,37.0
China,80271.0,2981.0,49955.0
US,153.0,11.0,8.0
